class,placeId,score,name_kor,name_eng,latitude,longitude
attractions,10020510,5.0,한성백제문화제,Hanseong Baekje Cultural Festival,37.520847,127.11603
attractions,10020529,4.142857142857143,서울불꽃축제,Seoul International Fireworks Festival,37.528095,126.92417
attractions,10020530,4.681818181818182,서울빛초롱축제,Seoul Lantern Festival,37.569157,127.00403
attractions,10130671,5.0,학아재미술관,Hagajae Museum,37.577007,126.9904
attractions,10183192,4.435897435897436,석촌호수,Seokchon Lake,37.508343,127.1
attractions,10288072,4.3,디뮤지엄,D Museum,37.53687,127.01137
attractions,1046419,4.283880171184022,청계천,Cheonggyecheon Stream,37.568733,126.98553
attractions,10467804,4.454545454545454,K-Style Hub,K-Style Hub,37.56904,126.981636
attractions,10479243,4.888888888888889,Baek In-Je House Museum,Baek In-Je House Museum,37.580803,126.984085
attractions,10483406,3.6666666666666665,헬로에이피엠,Hello APM,37.557457,126.95412
attractions,1052311,4.162162162162162,화폐 금융 박물관,Bank of Korea Museum,37.562363,126.98146
attractions,10543181,4.5,윤동주 문학관,Yoon Dongju Literary Museum,37.592113,126.96732
attractions,10677413,4.25,남산야외식물원,Namsan Outdoor Botanical Garden,37.54252,126.9963
attractions,10720451,3.727272727272727,종각젊음의거리,Jonggak Avenue of Youth,37.569542,126.985695
attractions,10794564,3.7,러브뮤지엄,Love Museum,37.553482,126.92165
attractions,10897845,3.7142857142857144,북악팔각정,Bugak Palgakjeong Pavilion,37.601746,126.98039
attractions,1163226,3.764705882352941,중부시장,Jungbu Market,37.566235,127.00033
attractions,1169465,4.1630859375,N 서울 타워,N Seoul Tower,37.551388,126.988106
attractions,1176552,4.166666666666667,허준 박물관,Heojun Museum,37.567684,126.85114
attractions,11850082,4.6,북촌한옥지원센터,Bukchon Traditional Culture Center,37.578953,126.986115
attractions,11918183,4.176470588235294,스타일난다 핑크호텔,Stylenanda Pink Hotel Flagship Store,37.56207,126.985344
attractions,12034029,4.538461538461538,에스알티,SRT,37.486824,127.10248
attractions,12134415,4.0,경교장,Gyeonggyojang,37.56836,126.96748
attractions,12309166,4.417910447761194,서울스카이,Seoul Sky,37.51264,127.10249
attractions,12335291,5.0,호텔드코드,,37.551807,126.91909
attractions,1235392,4.317738791423002,조계사,Jogyesa Temple,37.573803,126.98223
attractions,12459260,3.9,서울로7017,Seoullo 7017,37.556667,126.972
attractions,12499622,4.0,백범광장,Baekbeom Plaza,37.555042,126.97916
attractions,12635586,4.40625,별마당 도서관,Starfield Library,37.509945,127.060425
attractions,12910217,4.25,라뜰리에,L’atelier,37.56907,127.00724
attractions,12986884,4.166666666666667,동대문성곽공원,Dongdaemun Seonggwak Park,37.57195,127.00905
attractions,13199013,4.0,익선동한옥거리,Ikseon-dong Hanok Street,37.57343,126.98951
attractions,13433251,5.0,국제선센터,International Seon Center,37.520996,126.87004
attractions,13651545,4.5,현대카드 뮤직 라이브러리,Hyundai Card Music Library,37.536587,127.00066
attractions,13794376,5.0,템플스테이 홍보관,Templestay Information Center,37.573895,126.98318
attractions,13798962,4.0,주한중국문화원,China Cultural Center,37.574566,126.97133
attractions,1379963,4.228090766823161,북촌 한옥마을,Bukchon Hanok Village,37.582767,126.98356
attractions,1383393,3.4266666666666667,동대문 밀리오레,Migliore Dongdaemun Shop,37.568066,127.008934
attractions,13860017,4.0,북한산영취사,Yeongchwisa,37.619324,126.99473
attractions,13954612,4.0,성내동 쭈꾸미골목,Seongnae-dong Octopus Street,37.537117,127.12619
attractions,13968712,5.0,사물놀이 한울림,,37.573788,126.98561
attractions,14015599,3.0,풍납토성,Pungnaptoseong Fortress,37.53459,127.1206
attractions,14021823,4.0,와룡묘,Waryongmyo Shrine,37.554836,126.98664
attractions,14101026,3.0,종로 성당,Jongno Catholic Church,37.57117,126.996635
attractions,14108530,3.0,영락교회,Youngnak Church,37.563328,126.98895
attractions,14112185,3.0,신흥시장,Shinheung Market,37.545475,126.98481
attractions,14112773,4.0,모래내시장,Moraenae Market,37.570427,126.91544
